   01,Total,      852.7803,    18
   01,  tr1,      852.7803,    18
   02,  tr2,     8119.5078,     6
   02,  tr1,    35503.2092,   381
   02,Total,    43622.7170,   387
   06,Total,   990200.7504,     1
   06,  tr1,   990200.7504,     1
   07,  tr1,     1421.4952,     4
   07,Total,     1421.4952,     4
   08,  tr1,    59986.3239,    69
   08,  tr2,    88059.9397,    15
   08,Total,   148046.2636,    84
   09,  tr1,       51.5000,     1
   09,  tr2,    32242.1910,     1
   09,Total,    32293.6910,     2
   10,  tr1,   378439.9914,  3046
   10,  tr2,  1048003.0022,   196
   10,  tr3,  3246533.2016,    14
   10,Total,  4672976.1952,  3256
   11,  tr2,   241123.9769,    20
   11,  tr1,   249226.6771,   578
   11,  tr3,   300386.5508,     1
   11,Total,   790737.2048,   599
   12,Total,       72.7872,     1
   12,  tr1,       72.7872,     1
   13,  tr1,    40337.8167,   368
   13,  tr2,   109765.8003,    34
   13,  tr3,   138700.4839,     2
   13,Total,   288804.1009,   404
   14,  tr1,    25383.9674,   290
   14,  tr2,    76102.9352,    23
   14,Total,   101486.9026,   313
   15,  tr1,     1989.9144,    64
   15,  tr3,     8740.5196,     1
   15,  tr2,   108666.9526,    17
   15,Total,   119397.3866,    82
   16,  tr1,    34507.7188,   273
   16,  tr3,   163983.3067,     2
   16,  tr2,   269489.0157,    46
   16,Total,   467980.0412,   321
   17,  tr1,    15314.7445,    41
   17,  tr2,   217742.1300,    28
   17,  tr3,   999742.8181,     3
   17,Total,  1232799.6926,    72
   18,  tr1,    60646.3558,   846
   18,  tr2,   122646.7951,    52
   18,Total,   183293.1509,   898
   19,  tr1,     4869.1068,     1
   19,  tr2,    15526.6360,     1
   19,Total,    20395.7428,     2
   20,  tr2,   309006.0860,    48
   20,  tr1,   346461.5217,    85
   20,  tr3,   680375.3770,     4
   20,Total,  1335842.9847,   137
   21,  tr1,     1938.6133,     1
   21,  tr2,    42792.4069,     6
   21,  tr3,  1684770.0032,     3
   21,Total,  1729501.0234,    10
   22,  tr1,    29686.3014,    98
   22,  tr3,   364583.0319,     5
   22,  tr2,   412506.9517,    64
   22,Total,   806776.2850,   167
   23,  tr1,    86536.2316,   252
   23,  tr2,   284467.1546,    44
   23,  tr3,  1241901.7451,     3
   23,Total,  1612905.1313,   299
   24,  tr1,     9389.3037,    19
   24,  tr2,   145854.4643,    15
   24,  tr3,   879589.4060,     1
   24,Total,  1034833.1740,    35
   25,  tr1,   195874.3211,   711
   25,  tr3,   290995.1610,     1
   25,  tr2,   921642.4332,   307
