FR107,   PA,        0.0000,     1
FR433,   PA,        0.0000,     1
FR611,   PA,        0.0000,     1
FR631,   PA,        0.0000,     1
FR718,   PA,        0.0000,     1
FR826,   PA,        0.0000,     1
FR713,   PA,        0.0000,     2
FR822,   PA,        1.0000,     1
*FR83,   PA,        2.2000,     1
FR831,   PA,        2.2000,     1
FR625,   PA,        2.4000,     1
FR102,   PA,        4.0000,     1
FR511,   PA,       14.3216,     1
FR811,   PA,       15.7696,     1
FR414,   PA,       19.5531,     1
FR302,   PA,       20.1852,     2
FR514,   PA,       20.1852,     2
FR106,   PA,       20.1852,     3
FR213,   PA,       21.1437,     2
FR534,   PA,       21.4824,     1
FR533,   PA,       28.3824,     1
FR421,   PA,       30.6162,     3
FR613,   PA,       32.5885,     1
FR245,   PA,       33.6420,     2
FR432,   PA,       35.5420,     1
FR721,   PA,       37.2420,     1
FR262,   PA,       39.0697,     2
FR715,   PA,       47.0988,     2
FR524,   PA,       47.2988,     1
FR712,   PA,       53.5844,     2
FR814,   PA,       54.3062,     1
FR622,   PA,       58.1256,     2
FR221,   PA,       58.1416,     1
FR523,   PA,       58.6593,     1
FR723,   PA,       63.7556,     3
FR614,   PA,       65.0472,     3
FR623,   PA,       67.2840,     1
FR431,   PA,       69.2150,     2
FR222,   PA,       75.5533,     2
FR512,   PA,       79.8110,     1
FR633,   PA,       96.0000,     1
*FR63,   PA,       96.0000,     2
FR531,   PA,       96.0514,     2
*FR43,   PA,      104.7570,     4
FR825,   PA,      106.4581,     3
FR104,   PA,      111.9784,     3
FR522,   PA,      112.7658,     3
FR246,   PA,      122.9406,     1
FR301,   PA,      124.2402,     6
*FR22,   PA,      133.6949,     3
*FR30,   PA,      144.4254,     8
FR815,   PA,      150.9627,     4
*FR24,   PA,      156.5826,     3
FR722,   PA,      201.9890,     1
FR413,   PA,      224.0508,     3
FR824,   PA,      236.0577,     3
FR813,   PA,      252.0220,     5
*FR72,   PA,      302.9866,     5
FR521,   PA,      319.5086,     7
FR108,   PA,      416.3324,     8
FR105,   PA,      416.4274,     8
FR628,   PA,      457.7198,     1
FR211,   PA,      484.0920,     3
*FR21,   PA,      505.2357,     5
FR717,   PA,      512.4522,     1
*FR52,   PA,      538.2325,    12
FR627,   PA,      593.0680,     3
FR615,   PA,      739.5347,     9
FR422,   PA,      769.7314,     4
FR612,   PA,      788.0708,     5
*FR42,   PA,      800.3476,     7
FR716,   PA,      896.5154,    39
*FR62,   PA,     1178.5974,     8
FR714,   PA,     1259.7725,    24
FR812,   PA,     1322.7545,     1
*FR25,   PA,     1336.3600,    50
FR251,   PA,     1336.3600,    50
