"ACTIVITY","SIZE","TOT","N_OBS","Status","Dom"
"D_TO_M","Total",141677222.2761,148792,"V",NA
"D_TO_M","tr1",90193918.6474,143788,"V",NA
"D_TO_M","tr2",30764023.7815,4885,"V",NA
"D_TO_M","tr3",20719279.8472,119,"V",NA
"D","Total",2438453.7427,1411,"B",0
"D","tr1",839133.4806,1403,"B",0
"D","tr2",1422913.9161,7,"V",NA
"D","tr3",176406.346,1,"B",0
"E","Total",2264393.0965,828,"D",NA
"E","tr1",1083772.6427,753,"B",0
"E","tr2",444751.1506,70,"B",0
"E","tr3",735869.3032,5,"B",0
"F","Total",8907311.2063,28043,"V",NA
"F","tr1",4552545.9848,26937,"V",NA
"F","tr2",2216677.2469,1097,"V",NA
"F","tr3",2138087.9746,9,"V",NA
"G","Total",18244309.4807,41624,"V",NA
"G","tr1",7969431.1654,40057,"V",NA
"G","tr2",6887250.645,1529,"V",NA
"G","tr3",3387627.6703,38,"V",NA
"H","Total",6273333.7969,6524,"V",NA
"H","tr1",1413112.2272,6079,"V",NA
"H","tr2",1183249.4142,430,"V",NA
"H","tr3",3676972.1555,15,"V",NA
"I","Total",2444419.3091,13905,"V",NA
"I","tr1",1650474.8002,13290,"V",NA
"I","tr2",707429.167,608,"V",NA
"I","tr3",86515.3419,7,"V",NA
"J","Total",8584917.2458,8135,"V",NA
"J","tr1",956397.3372,7884,"V",NA
"J","tr2",1989035.0258,235,"V",NA
"J","tr3",5639484.8828,16,"V",NA
"K","Total",62556596.2779,8140,"V",NA
"K","tr1",57802844.8884,8026,"V",NA
"K","tr2",4098357.696,112,"B",0
"K","tr3",655393.6935,2,"B",0
"L","Total",13288815.1594,11961,"V",NA
"L","tr1",7447540.0287,11850,"V",NA
"L","tr2",3210150.5773,107,"V",NA
"L","tr3",2631124.5534,4,"V",NA
"M","Total",16674672.9608,28221,"V",NA
"M","tr1",6478666.0922,27509,"V",NA
"M","tr2",8604208.9426,690,"V",NA
"M","tr3",1591797.926,22,"V",NA
