     D,  tr3,   176406.3460,     1
     D,  tr1,   839133.4806,  1403
     D,  tr2,  1422913.9161,     7
     D,Total,  2438453.7427,  1411
D_TO_M,  tr3, 20719279.8472,   119
D_TO_M,  tr2, 30764023.7815,  4885
D_TO_M,  tr1, 90193918.6474,143788
D_TO_M,Total,141677222.2761,148792
     E,  tr2,   444751.1506,    70
     E,  tr3,   735869.3032,     5
     E,  tr1,  1083772.6427,   753
     E,Total,  2264393.0965,   828
     F,  tr3,  2138087.9746,     9
     F,  tr2,  2216677.2469,  1097
     F,  tr1,  4552545.9848, 26937
     F,Total,  8907311.2063, 28043
     G,  tr3,  3387627.6703,    38
     G,  tr2,  6887250.6450,  1529
     G,  tr1,  7969431.1654, 40057
     G,Total, 18244309.4807, 41624
     H,  tr2,  1183249.4142,   430
     H,  tr1,  1413112.2272,  6079
     H,  tr3,  3676972.1555,    15
     H,Total,  6273333.7969,  6524
     I,  tr3,    86515.3419,     7
     I,  tr2,   707429.1670,   608
     I,  tr1,  1650474.8002, 13290
     I,Total,  2444419.3091, 13905
     J,  tr1,   956397.3372,  7884
     J,  tr2,  1989035.0258,   235
     J,  tr3,  5639484.8828,    16
     J,Total,  8584917.2458,  8135
     K,  tr3,   655393.6935,     2
     K,  tr2,  4098357.6960,   112
     K,  tr1, 57802844.8884,  8026
     K,Total, 62556596.2779,  8140
     L,  tr3,  2631124.5534,     4
     L,  tr2,  3210150.5773,   107
     L,  tr1,  7447540.0287, 11850
     L,Total, 13288815.1594, 11961
     M,  tr3,  1591797.9260,    22
     M,  tr1,  6478666.0922, 27509
     M,  tr2,  8604208.9426,   690
     M,Total, 16674672.9608, 28221
